case,switch,soft_iou,hard_iou,tex_corr,lesion_change,psnr_brain_target
Mets_008,no_expo_reduce,0.9877511262893677,0.9928373098373413,0.9838272929191589,-0.01580825448036194,32.65120846706274
Mets_008,no_contour_lock,0.9826213121414185,0.9927654266357422,0.9910205602645874,-0.018460124731063843,31.690583282358837
Mets_008,strength_0.10,0.9866584539413452,0.9908719658851624,0.9778156280517578,-0.00969076156616211,32.518576470407524
Mets_008,strength_1.00,0.987755537033081,0.9932680726051331,0.9859988689422607,-0.041650474071502686,28.81505650230014
Mets_009,default,0.9859727621078491,0.9879307150840759,0.9815667867660522,-0.019929111003875732,29.932149639674833
Mets_009,no_clip,0.9861863851547241,0.9886049032211304,0.9698061943054199,-0.12045830488204956,21.981132891283632
Mets_009,clip_0.04,0.9854899048805237,0.9868547916412354,0.9807279706001282,-0.013533174991607666,30.322700839455756
Mets_009,clip_0.15,0.9863417148590088,0.9886049032211304,0.9825747609138489,-0.031186044216156006,29.05433243605414
Mets_009,no_detail,0.9820115566253662,0.983367383480072,0.9791122674942017,-0.025324881076812744,27.871004572883095
Mets_009,no_expo_reduce,0.9860398173332214,0.9879307150840759,0.9838373064994812,-0.01590520143508911,30.837431542319145
Mets_009,no_contour_lock,0.9787585139274597,0.9879307150840759,0.9906737804412842,-0.019929111003875732,29.932149639674833
Mets_009,strength_0.10,0.985185444355011,0.9863055348396301,0.9802675247192383,-0.010799586772918701,30.452945444363372
Mets_009,strength_1.00,0.9877167344093323,0.9911932349205017,0.984562337398529,-0.043916523456573486,27.964870283118366
Mets_010,default,0.9867163896560669,0.9882352948188782,0.9801458716392517,-0.023762404918670654,31.68698176982694
Mets_010,no_clip,0.9860496520996094,0.9892450571060181,0.9666544198989868,-0.10074123740196228,23.94751768877018
Mets_010,clip_0.04,0.9859720468521118,0.9866967797279358,0.9786350131034851,-0.017261922359466553,32.35784840783056
Mets_010,clip_0.15,0.9869428873062134,0.9892450571060181,0.9815773367881775,-0.03524777293205261,30.29973775027891
Mets_010,no_detail,0.9823988676071167,0.9832807183265686,0.9744824767112732,-0.03193286061286926,29.560321157335213
Mets_010,no_expo_reduce,0.9868751168251038,0.9882586598396301,0.983511745929718,-0.01978859305381775,32.782251254783205
Mets_010,no_contour_lock,0.9814361333847046,0.9882352948188782,0.990448534488678,-0.023762404918670654,31.68698176982694
Mets_010,strength_0.10,0.9854750633239746,0.9856647253036499,0.9777207970619202,-0.014488637447357178,32.5885596757755
Mets_010,strength_1.00,0.9881801009178162,0.9923648238182068,0.9856245517730713,-0.04834774136543274,28.750546322864
Mets_011,default,0.9825322031974792,0.9854905009269714,0.9812217354774475,-0.018549442291259766,31.056800822528704
Mets_011,no_clip,0.9828394651412964,0.9868032336235046,0.9726381897926331,-0.08517104387283325,24.59444615520479
Mets_011,clip_0.04,0.9815648198127747,0.9837560057640076,0.980043351650238,-0.012626349925994873,31.503810979207806
Mets_011,clip_0.15,0.9833233952522278,0.9868032336235046,0.982633650302887,-0.028976410627365112,30.045752741636207
Mets_011,no_detail,0.9764865636825562,0.9787224531173706,0.9794554114341736,-0.02416616678237915,29.065282441498105
Mets_011,no_expo_reduce,0.9826735854148865,0.9855131506919861,0.9840497374534607,-0.015467017889022827,31.895875314213722
Mets_011,no_contour_lock,0.9774426221847534,0.9854905009269714,0.9901790618896484,-0.018549442291259766,31.056800822528704
Mets_011,strength_0.10,0.9810149073600769,0.9829351305961609,0.9793956279754639,-0.010096371173858643,31.64947613381637
Mets_011,strength_1.00,0.9848335385322571,0.9896203875541687,0.9854074120521545,-0.040783077478408813,28.811032756037555
Mets_012,default,0.9764075875282288,0.9824603199958801,0.9799273610115051,-0.024057745933532715,32.08529733654523
Mets_012,no_clip,0.9707759022712708,0.9816737771034241,0.9648023843765259,-0.07899689674377441,25.585062884715526
Mets_012,clip_0.04,0.9761830568313599,0.9808977842330933,0.9780815839767456,-0.017753958702087402,32.81140661761526
Mets_012,clip_0.15,0.9742669463157654,0.9817800521850586,0.9815808534622192,-0.03516346216201782,30.6134208946299
Mets_012,no_detail,0.9692460894584656,0.9752445220947266,0.9778987169265747,-0.031585365533828735,30.159022736065243
Mets_012,no_expo_reduce,0.9769809246063232,0.9826458096504211,0.983663022518158,-0.02010253071784973,33.270312317046034
Mets_012,no_contour_lock,0.9720183610916138,0.9824603199958801,0.9904413819313049,-0.02405110001564026,32.085299788122384
Mets_012,strength_0.10,0.9757012724876404,0.9800248146057129,0.9769493341445923,-0.015061348676681519,33.06260635598012
Mets_012,strength_1.00,0.9717925786972046,0.9800458550453186,0.9863682985305786,-0.047796428203582764,29.005759535869263
Mets_013,default,0.9814684987068176,0.9827783703804016,0.9836108684539795,-0.02173370122909546,29.490892108232302
Mets_013,no_clip,0.981977641582489,0.9843268990516663,0.9708417654037476,-0.09876018762588501,23.11223066763054
Mets_013,clip_0.04,0.9805405139923096,0.9812754988670349,0.9825963973999023,-0.015349090099334717,29.843737832016135
Mets_013,clip_0.15,0.9822736978530884,0.9843268990516663,0.9848349690437317,-0.032941579818725586,28.681586005787004
