case,brain_voxels,core_voxels,support_voxels,seg_voxels_tri,seg_voxels_near,core_brain_frac,seg_brain_frac,dice_tri,recall_tri,precision_tri,dice_near,recall_near,precision_near,dice_support,recall_support,seg_voxels_max,dice_max,recall_max,precision_max,dice_support_max,recall_support_max
Mets_052,53798,13577,79426,18,23,0.25236997657905497,0.0003345849288077624,0.0010297903641044502,0.3888888888888889,0.0005155778154231421,0.001176470588235294,0.34782608695652173,0.0005892317890550195,0.00045314938824832587,1.0,317,0.01669785518929034,0.3659305993690852,0.008543860941297783,0.007950541113326562,1.0
Mets_053,44242,10686,66619,66,74,0.24153519280321867,0.0014917951268025858,0.004092261904761905,0.3333333333333333,0.002058768482126146,0.002973977695167286,0.21621621621621623,0.0014972861688190156,0.0019794556496963334,1.0,919,0.037914691943127965,0.23939064200217627,0.020587684821261464,0.02721430898161035,1.0
Mets_054,42092,9562,63727,84,91,0.2271690582533498,0.0019956286230162503,0.0012440389798880364,0.07142857142857142,0.0006274837900020916,0.0020718947477468145,0.10989010989010989,0.0010458063166701526,0.002632774913416182,1.0,253,0.0065206316861946,0.12648221343873517,0.003346580213344489,0.00790872147546108,1.0
Mets_055,42507,8753,64330,0,0,0.20591902510174795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0009129293620906082,0.4,0.0004569861761681709,0.00031084861672365556,1.0
Mets_056,44190,10966,66873,15,15,0.24815569133288073,0.00033944331296673454,0.0018213277479282397,0.6666666666666666,0.0009119095385737735,0.0021855932975138877,0.8,0.0010942914462885281,0.0004485109436670255,1.0,46,0.004358881220486742,0.5217391304347826,0.0021885828925770562,0.0013747963956424931,1.0
Mets_057,38725,10528,59366,0,0,0.27186571981923824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,0.002844141069397042,0.75,0.0014247720364741641,0.0006735594247802512,1.0
Mets_058,50301,11773,74830,6,8,0.234051012902328,0.00011928192282459593,0.0,0.0,0.0,0.0,0.0,0.0,0.00016035063338500186,1.0,25,0.0,0.0,0.0,0.0006679580522343197,1.0
Mets_059,42110,9393,63610,1,1,0.2230586559012111,2.3747328425552126e-05,0.00021290185224611454,1.0,0.00010646225912913872,0.00021290185224611454,1.0,0.00010646225912913872,3.144110295389162e-05,1.0,37,0.002545068928950159,0.32432432432432434,0.0012775471095496647,0.0011626628120728392,1.0
Mets_060,48403,12410,71984,17,17,0.2563890667933806,0.0003512178997169597,0.0,0.0,0.0,0.0,0.0,0.0,0.0004722156636713379,1.0,125,0.0011168727562824092,0.056,0.0005640612409347301,0.0034669736093968853,1.0
Mets_061,44564,11897,67434,71,67,0.26696436585584776,0.001593214253657661,0.0,0.0,0.0,0.0,0.0,0.0,0.0021035478853418266,1.0,174,0.0,0.0,0.0,0.0051473198438054665,1.0
Mets_062,39161,10005,60008,342,348,0.25548377212022166,0.00873317841730293,0.05470184594568474,0.827485380116959,0.02828585707146427,0.054476963199072734,0.8103448275862069,0.028185907046476763,0.011333885666942833,1.0,740,0.09288040949278735,0.6743243243243243,0.049875062468765614,0.02436294198985975,1.0
Mets_063,38958,11198,59582,13,18,0.28743775347810463,0.000333692694696853,0.0005351886540005352,0.23076923076923078,0.0002679049830326844,0.0005349500713266762,0.16666666666666666,0.0002679049830326844,0.0004362782112593338,1.0,152,0.0074008810572687225,0.27631578947368424,0.0037506697624575818,0.005089228914855861,1.0
Mets_064,46415,12378,69987,20,19,0.26668102983949155,0.00043089518474631047,0.00032263268269075657,0.1,0.00016157699143641945,0.00032265870775187547,0.10526315789473684,0.00016157699143641945,0.0005713714342851429,1.0,373,0.013489138106815152,0.23056300268096513,0.006947810631766037,0.010119386014781125,0.9544235924932976
Mets_065,53660,13597,79321,7,3,0.25339172568020873,0.00013045098770033545,0.00029403116730373417,0.2857142857142857,0.0001470912701331176,0.00014705882352941175,0.3333333333333333,7.35456350665588e-05,0.0001764824526018556,1.0,49,0.002638135717426352,0.3673469387755102,0.0013238214311980584,0.0012347234471462769,1.0
