case,brain_voxels,core_voxels,seg_voxels,segmax_voxels,core_brain_frac,seg_brain_frac,segmax_brain_frac,recall_core_vs_seg,precision_core_vs_seg,paper_signed_change_core,paper_ratio_core,paper_abschange_core,texture_corr_core,signed_change_seg,abschange_seg,abschange_outside_seg,ratio_seg,texture_corr_seg,signed_change_segmax,abschange_segmax,abschange_outside_segmax,ratio_segmax,texture_corr_segmax
Mets_043,39080,9669,14,109,0.24741555783009211,0.00035823950870010233,0.002789150460593654,0.2857142857142857,0.0004136932464577516,-0.02100997418165207,0.6097422983277929,0.02837909758090973,0.9902082681655884,-0.057662904262542725,0.057662904262542725,0.02003062330186367,0.3473745132687563,0.9978834986686707,-0.016369391232728958,0.022011447697877884,0.020038088783621788,0.9103485176739944,0.9943928122520447
Mets_044,46313,11191,3,21,0.2416384168591972,6.477662859240385e-05,0.000453436400146827,1.0,0.00026807255830578144,-0.021053345873951912,0.6774466990801501,0.02904479391872883,0.9899828433990479,-0.07639825344085693,0.07639825344085693,0.021936561912298203,0.2871343378193876,0.999596118927002,-0.06521856784820557,0.06560536473989487,0.021920278668403625,0.33412326499990974,0.999068021774292
Mets_045,42942,10570,55,524,0.24614596432397187,0.0012807973545712822,0.012202505705370034,0.16363636363636364,0.0008514664143803217,-0.018460415303707123,0.7944881421741149,0.024348968639969826,0.9907537698745728,-0.06834641098976135,0.06834641098976135,0.02051541954278946,0.3001682055530725,0.9948959350585938,-0.025695739313960075,0.029403535649180412,0.020467640832066536,0.6960945471412057,0.9947052597999573
Mets_046,47491,12648,220,1558,0.2663241456275926,0.0046324566760017685,0.032806215914594344,0.42727272727272725,0.0074320050600885515,-0.023228207603096962,0.46774547746933026,0.027871428057551384,0.9913151264190674,-0.03850262239575386,0.038790855556726456,0.016887200996279716,0.43533974061449704,0.9967237114906311,-0.02113480307161808,0.022998007014393806,0.01678483933210373,0.7298388648024401,0.9928818941116333
Mets_047,42942,10287,17,133,0.2395556797540869,0.000395882818685669,0.003097200875599646,0.058823529411764705,9.72100709633518e-05,-0.025107793509960175,0.5412564354724229,0.03163804113864899,0.9900956749916077,-0.04487510025501251,0.04487510025501251,0.02059192955493927,0.4588720568404562,0.9981198906898499,-0.021123157814145088,0.027057865634560585,0.020581485703587532,0.7606470510851796,0.9948683977127075
Mets_048,53449,13037,23,173,0.24391475986454378,0.00043031675054725063,0.003236730341072798,0.34782608695652173,0.0006136381069264402,-0.02277245745062828,0.6160179330322794,0.03467569500207901,0.9904013276100159,-0.060716431587934494,0.06214629113674164,0.024592379108071327,0.39571756670016334,0.9930481314659119,-0.02346215769648552,0.03202091529965401,0.024584464728832245,0.7677627106773517,0.9944802522659302
Mets_049,45000,11539,178,323,0.2564222222222222,0.003955555555555556,0.007177777777777778,0.6292134831460674,0.009706213710026865,-0.018105031922459602,0.6909436595269716,0.026246678084135056,0.9907968044281006,-0.03770463541150093,0.04323456808924675,0.02012357860803604,0.46545113082883216,0.9971462488174438,-0.020832492038607597,0.0298567283898592,0.020145289599895477,0.6747319845913794,0.9961344599723816
Mets_050,45137,11128,6,24,0.24653831668032877,0.00013292863947537498,0.0005317145579014999,0.0,0.0,-0.023665964603424072,0.5690275363998909,0.03136417269706726,0.9885536432266235,-0.05143364891409874,0.05143364891409874,0.021175535395741463,0.41170587432183775,0.9981110095977783,-0.0186228696256876,0.021083662286400795,0.02117960900068283,1.0045507612946316,0.9962607026100159
Mets_051,45271,10673,1,29,0.235757990766716,2.2089196174151222e-05,0.0006405866890503855,0.0,0.0,-0.016862643882632256,0.6957304644846648,0.030343391001224518,0.991615355014801,-0.09485131502151489,0.09485131502151489,0.023285891860723495,0.2454988827033301,nan,-0.028351467102766037,0.03434907644987106,0.02328038401901722,0.6777586597704466,0.9942145943641663
Mets_052,53798,13577,18,317,0.25236997657905497,0.0003345849288077624,0.005892412357336704,0.3888888888888889,0.0005155778154231421,-0.019785262644290924,0.8136433647067438,0.0251321904361248,0.9884448647499084,-0.06302807480096817,0.06302807480096817,0.021616773679852486,0.34297055317197206,0.9972479343414307,-0.027248628437519073,0.03425409644842148,0.02155580371618271,0.6292912658969306,0.9932906031608582
Mets_053,44242,10686,66,919,0.24153519280321867,0.0014917951268025858,0.02077211699290267,0.3333333333333333,0.002058768482126146,-0.017612958326935768,0.8932825470441356,0.024405771866440773,0.98775315284729,-0.03820713236927986,0.04008007049560547,0.022403962910175323,0.5589801273586028,0.9931978583335876,-0.020361581817269325,0.025808880105614662,0.02235659956932068,0.866236716890984,0.9923306107521057
Mets_054,42092,9562,84,253,0.2271690582533498,0.0019956286230162503,0.006010643352656087,0.07142857142857142,0.0006274837900020916,-0.019029131159186363,0.9371808417595259,0.02378874644637108,0.98940110206604,-0.016400346532464027,0.024117708206176758,0.02263087034225464,0.9383507814585249,0.9940869212150574,-0.01798892952501774,0.024200038984417915,0.022624365985393524,0.9348896503828383,0.9912359118461609
Mets_055,42507,8753,0,10,0.20591902510174795,0.0,0.00023525536970381349,0.0,0.0,-0.02342621050775051,0.7555059389442059,0.03063325770199299,0.9875472187995911,nan,nan,0.024685868993401527,nan,nan,-0.020339805632829666,0.020339805632829666,0.024686889722943306,1.2137229907004217,0.9979967474937439
