case,variant,soft_iou,hard_iou,tex_corr,lesion_change,resid_mean_abs,psnr_brain_target
Mets_024,noise,0.9851533770561218,0.9897262454032898,0.9633803367614746,-0.01118481159210205,0.46084922552108765,30.9210842045967
Mets_024,mean_latent,0.9875130653381348,0.992992639541626,0.9804331064224243,-0.021773934364318848,0.07316680252552032,30.77737169565205
Mets_025,dit_seedA,0.9882042407989502,0.9905596971511841,0.9785723090171814,-0.021383166313171387,0.07465485483407974,30.025290366914128
Mets_025,dit_seedB,0.9882042407989502,0.9905596971511841,0.9785723090171814,-0.021383166313171387,0.07464724779129028,30.025290366914128
Mets_025,frozen,0.9882042407989502,0.9905596971511841,0.9785723090171814,-0.021383166313171387,0.07465022802352905,30.025290366914128
Mets_025,shuffled,0.9882042407989502,0.9905596971511841,0.9785723090171814,-0.021383166313171387,0.0746547132730484,30.025290366914128
Mets_025,identity,0.9869545698165894,0.988731861114502,0.9754496216773987,-0.008417904376983643,0.0,30.65986873042604
Mets_025,noise,0.9857491254806519,0.9872273802757263,0.9626425504684448,-0.012177348136901855,0.46243610978126526,30.080886696864088
Mets_025,mean_latent,0.9882042407989502,0.9905596971511841,0.9785723090171814,-0.021383166313171387,0.07463707029819489,30.025290366914128
Mets_026,dit_seedA,0.9871962666511536,0.9923444390296936,0.9800670146942139,-0.024118751287460327,0.06366516649723053,31.63344552378738
Mets_026,dit_seedB,0.9871962666511536,0.9923444390296936,0.9800670146942139,-0.024118751287460327,0.06365766376256943,31.63344552378738
Mets_026,frozen,0.9871962666511536,0.9923444390296936,0.9800670146942139,-0.024118751287460327,0.06366074085235596,31.63344552378738
Mets_026,shuffled,0.9871962666511536,0.9923444390296936,0.9800670146942139,-0.024118751287460327,0.06366510689258575,31.63344552378738
Mets_026,identity,0.9853618144989014,0.9893325567245483,0.9761794209480286,-0.01140853762626648,0.0,32.86398983849614
Mets_026,noise,0.9832532405853271,0.986359715461731,0.9547222852706909,-0.010475009679794312,0.4599565267562866,32.1828995725287
Mets_026,mean_latent,0.9871962666511536,0.9923444390296936,0.9800670146942139,-0.024118751287460327,0.0636473223567009,31.63344552378738
Mets_027,dit_seedA,0.987925112247467,0.9909402132034302,0.9789757132530212,-0.02621638774871826,0.07921510189771652,30.031739347424548
Mets_027,dit_seedB,0.987925112247467,0.9909402132034302,0.9789757132530212,-0.02621638774871826,0.07920752465724945,30.031739347424548
Mets_027,frozen,0.987925112247467,0.9909402132034302,0.9789757132530212,-0.02621638774871826,0.07921051234006882,30.031739347424548
Mets_027,shuffled,0.987925112247467,0.9909402132034302,0.9789757132530212,-0.02621638774871826,0.0792151391506195,30.031739347424548
Mets_027,identity,0.98675537109375,0.9887574911117554,0.9767901301383972,-0.013216078281402588,0.0,30.827181125550194
Mets_027,noise,0.9856863617897034,0.9874475002288818,0.9659531712532043,-0.017935514450073242,0.4619371294975281,30.15402401905678
Mets_027,mean_latent,0.987925112247467,0.9909402132034302,0.9789757132530212,-0.02621638774871826,0.07919729501008987,30.031739347424548
Mets_028,dit_seedA,0.9824680089950562,0.9873876571655273,0.982401967048645,-0.020389258861541748,0.058267053216695786,30.72547213150528
Mets_028,dit_seedB,0.9824680089950562,0.9873876571655273,0.982401967048645,-0.020389258861541748,0.058259595185518265,30.72547213150528
Mets_028,frozen,0.9824680089950562,0.9873876571655273,0.982401967048645,-0.020389258861541748,0.05826251581311226,30.72547213150528
Mets_028,shuffled,0.9824680089950562,0.9873876571655273,0.982401967048645,-0.020389258861541748,0.058267172425985336,30.72547213150528
Mets_028,identity,0.9806434512138367,0.9851289987564087,0.9801920652389526,-0.008442938327789307,0.0,31.462235002734793
Mets_028,noise,0.978975772857666,0.9832804203033447,0.9679399728775024,-0.009683966636657715,0.4667277932167053,30.890707520594162
Mets_028,mean_latent,0.9824680089950562,0.9873876571655273,0.982401967048645,-0.020389258861541748,0.05824936926364899,30.72547213150528
Mets_029,dit_seedA,0.9776200652122498,0.9850698113441467,0.9819600582122803,-0.020656585693359375,0.04677058756351471,32.82608128714408
Mets_029,dit_seedB,0.9776200652122498,0.9850698113441467,0.9819600582122803,-0.020656585693359375,0.046763379126787186,32.82608128714408
Mets_029,frozen,0.9776200652122498,0.9850698113441467,0.9819600582122803,-0.020656585693359375,0.04676630347967148,32.82608128714408
Mets_029,shuffled,0.9776200652122498,0.9850698113441467,0.9819600582122803,-0.020656585693359375,0.046770717948675156,32.82608128714408
Mets_029,identity,0.9759075045585632,0.9806204438209534,0.9780893921852112,-0.008754223585128784,0.0,34.27748356137916
Mets_029,noise,0.9722227454185486,0.9766873717308044,0.9522442817687988,-0.005811244249343872,0.4674529433250427,33.5384645925449
Mets_029,mean_latent,0.9776200652122498,0.9850698113441467,0.9819600582122803,-0.020656585693359375,0.04675303399562836,32.82608128714408
